point_id,region_code,aip_cycle,ident,point_type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,associated_airport,frequency_khz,dme_frequency_khz,dme_channel,usage_type,power,source_system,source_file
US-2605-airport-PA84,US,2605,PA84,airport,Level Acres Farm Airport,39.953819,-76.909261,523,US,PA84,,,,,,OurAirports,airports.csv
US-2605-airport-PA85,US,2605,PA85,airport,Drewniany-Springmeadow Airport,40.305361,-75.534065,330,US,PA85,,,,,,OurAirports,airports.csv
US-2605-airport-PA85,US,2605,PA85,airport,GOH Greens Landing,41.921138,-76.526165,784,US,PA85,,,,,,OurAirports,airports.csv
US-2605-airport-PA86,US,2605,PA86,airport,Rivers Bluff Seaplane Base,41.68352,-76.275078,650,US,PA86,,,,,,OurAirports,airports.csv
US-2605-airport-PA87,US,2605,PA87,airport,TEK Park Breinigsville Heliport,40.545752,-75.661856,460,US,PA87,,,,,,OurAirports,airports.csv
US-2605-airport-PA88,US,2605,PA88,airport,Nemacolin Airport,39.805599212646484,-79.54889678955078,2010,US,PA88,,,,,,OurAirports,airports.csv
US-2605-airport-PA91,US,2605,PA91,airport,UPMC Kane Heliport,41.671191,-78.817911,2008,US,PA91,,,,,,OurAirports,airports.csv
US-2605-airport-PA92,US,2605,PA92,airport,Blue Mountain Academy (Private) Airport,40.55289840698242,-76.02880096435547,531,US,PA92,,,,,,OurAirports,airports.csv
US-2605-airport-PA93,US,2605,PA93,airport,Cherokee Heliport,40.685001373291016,-79.45670318603516,1175,US,PA93,,,,,,OurAirports,airports.csv
US-2605-airport-PA94,US,2605,PA94,airport,Sharon General Hospital Heliport,41.232601165771484,-80.49649810791016,980,US,PA94,,,,,,OurAirports,airports.csv
US-2605-airport-PA95,US,2605,PA95,airport,Turnpike Number 1 Heliport,40.215115,-76.790217,348,US,PA95,,,,,,OurAirports,airports.csv
US-2605-airport-PA97,US,2605,PA97,airport,Warren General Hospital Heliport,41.84389877319336,-79.15480041503906,1178,US,PA97,,,,,,OurAirports,airports.csv
US-2605-airport-PA98,US,2605,PA98,airport,WNEP-TV Heliport,41.370658,-75.681885,1035,US,PA98,,,,,,OurAirports,airports.csv
US-2605-airport-PA99,US,2605,PA99,airport,St Lukes/Gnaden Huetten Heliport,40.83263,-75.727088,600,US,PA99,,,,,,OurAirports,airports.csv
US-2605-airport-PAAD,US,2605,PAAD,airport,Point Thomson Airstrip,70.136,-146.290028,56,US,PAAD,,,,,,OurAirports,airports.csv
US-2605-airport-PAAK,US,2605,PAAK,airport,Atka Airport,52.220299,-174.205994,57,US,PAAK,,,,,,OurAirports,airports.csv
