time_s,phase,airspeed_kts,groundSpeed_kts,altitude_ft,verticalSpeed_fpm,pitch_deg,roll_deg,yaw_deg,alpha_deg,stallAlpha_deg,stallSpeed_kts,stallWarning,stall,eng1_n1,eng2_n1,eng1_egt,eng2_egt,hydPress_psi,elecVolts,onGround
0.84,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,85.4,96.3,791,796,316,115,0
0.86,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,85.2,96.4,791,796,316,116,0
0.88,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,85.0,96.5,791,796,316,114,0
0.90,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,84.9,96.5,791,796,316,116,0
0.92,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,84.7,96.6,791,796,316,116,0
0.94,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,84.5,96.6,791,796,316,116,0
0.96,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,84.4,96.7,791,796,316,115,0
0.98,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,84.2,96.8,791,796,316,115,0
1.00,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,84.0,96.8,791,797,316,116,0
1.02,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,83.8,96.9,791,797,316,115,0
1.04,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,83.7,96.9,791,797,316,114,0
1.06,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,83.5,97.0,791,797,316,114,0
1.08,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,83.3,97.1,791,797,316,116,0
1.10,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,83.2,97.1,791,797,316,115,0
1.12,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,83.0,97.2,791,797,316,114,0
1.14,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,82.8,97.2,791,797,316,115,0
1.16,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,82.7,97.3,791,797,316,115,0
1.18,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,82.5,97.3,791,797,316,115,0
1.20,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,82.4,97.4,791,797,316,115,0
1.22,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,82.2,97.4,791,797,316,115,0
1.24,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,82.0,97.5,791,798,316,115,0
1.26,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,81.9,97.5,791,798,316,116,0
1.28,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,81.7,97.6,791,798,316,116,0
1.30,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,81.5,97.6,791,798,316,115,0
1.32,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,81.4,97.7,791,798,316,114,0
1.34,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,81.2,97.7,791,798,316,116,0
1.36,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,81.0,97.8,791,798,316,116,0
1.38,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,80.9,97.8,791,798,316,114,0
1.40,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,80.7,97.9,791,798,316,116,0
1.42,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,80.6,97.9,791,798,316,116,0
1.44,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,80.4,98.0,791,798,316,115,0
1.46,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,80.2,98.0,791,798,316,115,0
1.48,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,80.1,98.1,791,798,316,114,0
1.50,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,79.9,98.1,791,798,316,115,0
1.52,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,79.8,98.2,791,799,316,116,0
