time_s,phase,airspeed_kts,groundSpeed_kts,altitude_ft,verticalSpeed_fpm,pitch_deg,roll_deg,yaw_deg,alpha_deg,stallAlpha_deg,stallSpeed_kts,stallWarning,stall,pitchRate_deg_s,rollRate_deg_s,yawRate_deg_s,ctrlElevator,ctrlAileron,ctrlRudder,ctrlThrottle,effElevator,effAileron,effRudder,motionEnabled,eng1_n1,eng2_n1,eng1_egt,eng2_egt,hydPress_psi,elecVolts,onGround
-0.02,climb_cruise,449.9,449.9,34999.9,-42,0.20,-0.00,360.00,0.17,15.0,125.0,0,0,3.56,-0.00,-0.00,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1,84.4,84.4,763,763,3000,116,0
0.00,climb_cruise,449.9,449.9,34999.9,-49,0.26,-0.00,359.97,0.31,15.0,125.0,0,0,3.29,-0.34,-3.22,-0.005,0.000,0.000,1.000,1.000,1.000,1.000,1,84.2,84.3,763,763,3000,116,0
0.02,climb_cruise,449.9,449.9,34999.9,-56,0.33,-0.01,359.89,0.39,15.0,125.0,0,0,3.27,-0.99,-5.84,-0.010,0.001,0.000,1.000,1.000,1.000,1.000,1,84.1,84.3,763,764,3000,115,0
0.04,climb_cruise,449.9,449.9,34999.8,-62,0.40,-0.03,359.75,0.46,15.0,125.0,0,0,3.55,-1.25,-7.89,-0.015,0.005,0.001,1.000,1.000,1.000,1.000,1,83.9,84.2,763,764,3000,115,0
0.06,climb_cruise,449.9,449.9,34999.8,-68,0.47,-0.06,359.58,0.54,15.0,125.0,0,0,3.92,-0.94,-9.38,-0.019,0.011,0.001,1.000,1.000,1.000,1.000,1,83.7,84.1,763,765,3000,115,0
0.08,climb_cruise,449.8,449.8,34999.8,-74,0.55,-0.07,359.39,0.63,15.0,125.0,0,0,4.26,-0.12,-10.34,-0.022,0.019,0.003,1.000,1.000,1.000,1.000,1,83.6,84.1,763,765,3000,114,0
0.10,climb_cruise,449.8,449.8,34999.8,-79,0.64,-0.06,359.18,0.72,15.0,125.0,0,0,4.47,1.07,-10.81,-0.024,0.027,0.005,1.000,1.000,1.000,1.000,1,83.4,84.1,763,766,3000,114,0
0.12,climb_cruise,449.8,449.8,34999.7,-84,0.73,-0.03,358.96,0.82,15.0,125.0,0,0,4.47,2.50,-10.83,-0.024,0.036,0.007,1.000,1.000,1.000,1.000,1,83.2,84.1,763,766,3000,115,0
0.14,climb_cruise,449.8,449.8,34999.7,-87,0.82,0.04,358.74,0.91,15.0,125.0,0,0,4.22,4.01,-10.46,-0.023,0.044,0.010,1.000,1.000,1.000,1.000,1,83.1,84.1,763,767,3000,115,0
0.16,climb_cruise,449.7,449.7,34999.7,-91,0.90,0.13,358.54,0.99,15.0,125.0,0,0,3.73,5.51,-9.74,-0.021,0.051,0.013,1.000,1.000,1.000,1.000,1,82.9,84.1,763,767,3000,115,0
0.18,climb_cruise,449.7,449.7,34999.6,-94,0.97,0.25,358.35,1.07,15.0,125.0,0,0,3.01,6.91,-8.74,-0.019,0.058,0.016,1.000,1.000,1.000,1.000,1,82.7,84.1,763,768,3000,116,0
0.20,climb_cruise,449.7,449.7,34999.6,-96,1.02,0.40,358.19,1.12,15.0,125.0,0,0,2.10,8.12,-7.53,-0.017,0.062,0.019,1.000,1.000,1.000,1.000,1,82.6,84.1,763,768,3000,116,0
0.22,climb_cruise,449.7,449.7,34999.6,-98,1.06,0.57,358.05,1.16,15.0,125.0,0,0,1.06,9.10,-6.16,-0.014,0.066,0.022,1.000,1.000,1.000,1.000,1,82.4,84.1,763,768,3000,115,0
0.24,climb_cruise,449.6,449.6,34999.5,-100,1.07,0.75,357.94,1.17,15.0,125.0,0,0,-0.02,9.82,-4.71,-0.011,0.067,0.025,1.000,1.000,1.000,1.000,1,82.2,84.2,763,769,3000,116,0
0.26,climb_cruise,449.6,449.6,34999.5,-102,1.06,0.95,357.86,1.16,15.0,125.0,0,0,-1.08,10.23,-3.23,-0.009,0.068,0.028,1.000,1.000,1.000,1.000,1,82.1,84.2,763,769,3000,116,0
0.28,climb_cruise,449.6,449.6,34999.5,-104,1.03,1.16,357.80,1.13,15.0,125.0,0,0,-2.01,10.34,-1.78,-0.007,0.066,0.030,1.000,1.000,1.000,1.000,1,81.9,84.2,763,770,3000,115,0
0.30,climb_cruise,449.6,449.6,34999.4,-106,0.99,1.36,357.78,1.08,15.0,125.0,0,0,-2.77,10.15,-0.41,-0.006,0.064,0.032,1.000,1.000,1.000,1.000,1,81.7,84.3,763,770,3000,116,0
0.32,climb_cruise,449.5,449.5,34999.4,-108,0.93,1.56,357.78,1.02,15.0,125.0,0,0,-3.27,9.66,0.83,-0.006,0.060,0.033,1.000,1.000,1.000,1.000,1,81.6,84.3,763,771,3000,116,0
0.34,climb_cruise,449.5,449.5,34999.4,-111,0.86,1.74,357.80,0.95,15.0,125.0,0,0,-3.48,8.90,1.91,-0.007,0.055,0.034,1.000,1.000,1.000,1.000,1,81.4,84.4,763,771,3000,114,0
0.36,climb_cruise,449.5,449.5,34999.3,-115,0.79,1.91,357.85,0.88,15.0,125.0,0,0,-3.37,7.91,2.81,-0.009,0.049,0.035,1.000,1.000,1.000,1.000,1,81.2,84.5,763,771,3000,115,0
0.38,climb_cruise,449.5,449.5,34999.3,-119,0.72,2.06,357.91,0.81,15.0,125.0,0,0,-2.94,6.73,3.50,-0.011,0.043,0.035,1.000,1.000,1.000,1.000,1,81.1,84.5,763,772,3000,115,0
0.40,climb_cruise,449.4,449.4,34999.3,-123,0.67,2.18,357.98,0.75,15.0,125.0,0,0,-2.23,5.41,3.99,-0.015,0.037,0.035,1.000,1.000,1.000,1.000,1,80.9,84.6,763,772,3000,115,0
0.42,climb_cruise,449.4,449.4,34999.2,-128,0.63,2.28,358.06,0.72,15.0,125.0,0,0,-1.27,4.01,4.26,-0.018,0.030,0.034,1.000,1.000,1.000,1.000,1,80.8,84.7,763,773,3000,115,0
0.44,climb_cruise,449.4,449.4,34999.2,-133,0.61,2.34,358.14,0.70,15.0,125.0,0,0,-0.14,2.56,4.33,-0.022,0.024,0.033,1.000,1.000,1.000,1.000,1,80.6,84.8,763,773,3000,115,0
0.46,climb_cruise,449.4,449.4,34999.1,-138,0.61,2.38,358.23,0.71,15.0,125.0,0,0,1.09,1.13,4.22,-0.026,0.017,0.032,1.000,1.000,1.000,1.000,1,80.4,84.9,763,773,3000,114,0
0.48,climb_cruise,449.3,449.3,34999.1,-143,0.64,2.39,358.31,0.74,15.0,125.0,0,0,2.31,-0.25,3.93,-0.030,0.012,0.030,1.000,1.000,1.000,1.000,1,80.3,85.0,763,774,3000,115,0
0.50,climb_cruise,449.3,449.3,34999.0,-147,0.69,2.37,358.39,0.80,15.0,125.0,0,0,3.43,-1.54,3.51,-0.033,0.007,0.029,1.000,1.000,1.000,1.000,1,80.1,85.1,763,774,3000,115,0
0.52,climb_cruise,449.3,449.3,34999.0,-152,0.77,2.33,358.46,0.88,15.0,125.0,0,0,4.37,-2.69,2.97,-0.035,0.003,0.027,1.000,1.000,1.000,1.000,1,80.0,85.2,763,774,3000,114,0
0.54,climb_cruise,449.3,449.3,34998.9,-156,0.86,2.27,358.52,0.97,15.0,125.0,0,0,5.04,-3.70,2.35,-0.036,-0.001,0.025,1.000,1.000,1.000,1.000,1,79.8,85.3,763,775,3000,116,0
0.56,climb_cruise,449.2,449.2,34998.9,-159,0.96,2.19,358.56,1.08,15.0,125.0,0,0,5.38,-4.53,1.67,-0.036,-0.003,0.024,1.000,1.000,1.000,1.000,1,79.6,85.4,763,775,3000,115,0
0.58,climb_cruise,449.2,449.2,34998.8,-161,1.07,2.09,358.60,1.20,15.0,125.0,0,0,5.36,-5.18,0.97,-0.035,-0.005,0.022,1.000,1.000,1.000,1.000,1,79.5,85.5,763,776,3000,114,0
0.60,climb_cruise,449.2,449.2,34998.7,-163,1.17,1.99,358.61,1.31,15.0,125.0,0,0,4.96,-5.64,0.27,-0.033,-0.005,0.021,1.000,1.000,1.000,1.000,1,79.3,85.6,763,776,3000,114,0
0.62,climb_cruise,449.2,449.2,34998.7,-164,1.26,1.87,358.62,1.41,15.0,125.0,0,0,4.20,-5.91,-0.41,-0.030,-0.005,0.020,1.000,1.000,1.000,1.000,1,79.2,85.7,763,776,3000,115,0
0.64,climb_cruise,449.1,449.1,34998.6,-164,1.34,1.75,358.60,1.49,15.0,125.0,0,0,3.13,-6.00,-1.04,-0.026,-0.004,0.019,1.000,1.000,1.000,1.000,1,79.0,85.8,763,777,3000,115,0
0.66,climb_cruise,449.1,449.1,34998.6,-164,1.39,1.63,358.58,1.55,15.0,125.0,0,0,1.82,-5.90,-1.60,-0.022,-0.002,0.018,1.000,1.000,1.000,1.000,1,78.8,85.9,763,777,3000,115,0
0.68,climb_cruise,449.1,449.1,34998.5,-164,1.42,1.52,358.55,1.58,15.0,125.0,0,0,0.36,-5.65,-2.08,-0.018,0.000,0.018,1.000,1.000,1.000,1.000,1,78.7,86.0,763,777,3000,115,0
0.70,climb_cruise,449.1,449.1,34998.5,-163,1.41,1.41,358.50,1.59,15.0,125.0,0,0,-1.13,-5.24,-2.48,-0.014,0.003,0.018,1.000,1.000,1.000,1.000,1,78.5,86.2,763,778,3000,116,0
0.72,climb_cruise,449.0,449.0,34998.4,-163,1.38,1.31,358.45,1.56,15.0,125.0,0,0,-2.56,-4.71,-2.77,-0.011,0.006,0.018,1.000,1.000,1.000,1.000,1,78.4,86.3,763,778,3000,115,0
0.74,climb_cruise,449.0,449.0,34998.4,-162,1.32,1.22,358.39,1.50,15.0,125.0,0,0,-3.80,-4.07,-2.96,-0.008,0.010,0.018,1.000,1.000,1.000,1.000,1,78.2,86.4,763,778,3000,116,0
0.76,climb_cruise,449.0,449.0,34998.3,-162,1.24,1.14,358.33,1.43,15.0,125.0,0,0,-4.76,-3.36,-3.06,-0.007,0.013,0.018,1.000,1.000,1.000,1.000,1,78.1,86.5,763,779,3000,115,0
0.78,climb_cruise,449.0,449.0,34998.3,-163,1.14,1.08,358.26,1.33,15.0,125.0,0,0,-5.35,-2.61,-3.06,-0.007,0.017,0.019,1.000,1.000,1.000,1.000,1,77.9,86.6,763,779,3000,115,0
0.80,climb_cruise,448.9,448.9,34998.2,-164,1.03,1.04,358.20,1.23,15.0,125.0,0,0,-5.52,-1.84,-2.97,-0.009,0.020,0.019,1.000,1.000,1.000,1.000,1,77.8,86.8,763,779,3000,114,0
0.82,climb_cruise,448.9,448.9,34998.2,-166,0.92,1.00,358.14,1.12,15.0,125.0,0,0,-5.24,-1.08,-2.81,-0.012,0.023,0.020,1.000,1.000,1.000,1.000,1,77.6,86.9,763,779,3000,116,0
0.84,climb_cruise,448.9,448.9,34998.1,-169,0.82,0.99,358.08,1.02,15.0,125.0,0,0,-4.51,-0.36,-2.58,-0.016,0.026,0.021,1.000,1.000,1.000,1.000,1,77.4,87.0,763,780,3000,116,0
0.86,climb_cruise,448.9,448.9,34998.0,-172,0.74,0.99,358.03,0.94,15.0,125.0,0,0,-3.39,0.30,-2.29,-0.020,0.028,0.021,1.000,1.000,1.000,1.000,1,77.3,87.2,763,780,3000,116,0
0.88,climb_cruise,448.8,448.8,34998.0,-176,0.69,1.00,357.99,0.88,15.0,125.0,0,0,-1.94,0.88,-1.97,-0.026,0.031,0.022,1.000,1.000,1.000,1.000,1,77.1,87.3,763,780,3000,115,0
0.90,climb_cruise,448.8,448.8,34997.9,-180,0.66,1.02,357.95,0.86,15.0,125.0,0,0,-0.26,1.37,-1.63,-0.031,0.032,0.023,1.000,1.000,1.000,1.000,1,77.0,87.4,763,781,3000,116,0
0.92,climb_cruise,448.8,448.8,34997.9,-184,0.68,1.05,357.92,0.86,15.0,125.0,0,0,1.52,1.75,-1.28,-0.037,0.033,0.024,1.000,1.000,1.000,1.000,1,76.8,87.5,763,781,3000,116,0
0.94,climb_cruise,448.8,448.8,34997.8,-189,0.72,1.09,357.90,0.91,15.0,125.0,0,0,3.28,2.04,-0.93,-0.041,0.034,0.024,1.000,1.000,1.000,1.000,1,76.7,87.7,763,781,3000,115,0
0.96,climb_cruise,448.8,448.8,34997.7,-193,0.80,1.13,357.89,0.98,15.0,125.0,0,0,4.87,2.23,-0.60,-0.045,0.034,0.025,1.000,1.000,1.000,1.000,1,76.5,87.8,763,782,3000,115,0
0.98,climb_cruise,448.7,448.7,34997.7,-196,0.91,1.18,357.88,1.09,15.0,125.0,0,0,6.17,2.32,-0.29,-0.048,0.034,0.025,1.000,1.000,1.000,1.000,1,76.4,87.9,763,782,3000,116,0
