time_s,phase,airspeed_kts,groundSpeed_kts,altitude_ft,verticalSpeed_fpm,pitch_deg,roll_deg,yaw_deg,alpha_deg,stallAlpha_deg,stallSpeed_kts,stallWarning,stall,pitchRate_deg_s,rollRate_deg_s,yawRate_deg_s,ctrlElevator,ctrlAileron,ctrlRudder,ctrlThrottle,effElevator,effAileron,effRudder,motionEnabled,eng1_n1,eng2_n1,eng1_egt,eng2_egt,hydPress_psi,elecVolts,onGround
0.00,climb_cruise,454.1,454.1,34992.7,-376,6.51,-0.02,359.98,6.77,15.0,125.0,0,0,48.20,-0.90,-4.19,-0.198,-0.000,-0.000,1.000,0.100,0.100,0.100,1,93.2,93.2,792,791,316,114,0
0.02,climb_cruise,454.1,454.1,34992.5,-338,7.30,-0.07,359.87,7.61,15.0,125.0,0,0,27.95,-3.28,-7.63,-0.197,0.001,-0.000,1.000,0.100,0.100,0.100,1,93.0,93.3,792,791,316,116,0
0.04,climb_cruise,454.0,454.0,34992.4,-297,7.72,-0.18,359.69,8.04,15.0,125.0,0,0,10.27,-6.03,-10.37,-0.191,0.007,0.000,1.000,0.100,0.100,0.100,1,92.8,93.4,792,791,316,115,0
0.06,climb_cruise,454.0,454.0,34992.3,-254,7.80,-0.36,359.46,8.14,15.0,125.0,0,0,-4.60,-8.59,-12.47,-0.182,0.015,0.002,1.000,0.100,0.100,0.100,1,92.6,93.5,792,791,316,115,0
0.08,climb_cruise,453.9,453.9,34992.2,-212,7.60,-0.58,359.20,7.94,15.0,125.0,0,0,-16.61,-10.68,-14.00,-0.170,0.026,0.003,1.000,0.100,0.100,0.100,1,92.5,93.6,792,792,316,114,0
0.10,climb_cruise,453.9,453.9,34992.2,-172,7.19,-0.84,358.91,7.52,15.0,125.0,0,0,-25.81,-12.20,-15.02,-0.155,0.039,0.006,1.000,0.100,0.100,0.100,1,92.3,93.6,792,792,316,115,0
0.12,climb_cruise,453.8,453.8,34992.2,-135,6.61,-1.13,358.62,6.94,15.0,125.0,0,0,-32.36,-13.14,-15.60,-0.139,0.053,0.009,1.000,0.100,0.100,0.100,1,92.1,93.7,792,792,316,116,0
0.14,climb_cruise,453.8,453.8,34992.2,-102,5.92,-1.43,358.32,6.24,15.0,125.0,0,0,-36.51,-13.59,-15.78,-0.121,0.067,0.012,1.000,0.100,0.100,0.100,1,91.9,93.8,792,792,316,114,0
0.16,climb_cruise,453.7,453.7,34992.2,-74,5.16,-1.73,358.02,5.47,15.0,125.0,0,0,-38.54,-13.63,-15.63,-0.102,0.081,0.016,1.000,0.100,0.100,0.100,1,91.7,93.9,792,792,316,115,0
0.18,climb_cruise,453.7,453.7,34992.2,-51,4.38,-2.03,357.74,4.67,15.0,125.0,0,0,-38.79,-13.38,-15.18,-0.082,0.095,0.020,1.000,0.100,0.100,0.100,1,91.5,94.0,792,792,316,115,0
0.20,climb_cruise,453.7,453.7,34992.2,-33,3.60,-2.31,357.47,3.89,15.0,125.0,0,0,-37.58,-12.94,-14.48,-0.061,0.108,0.024,1.000,0.100,0.100,0.100,1,91.4,94.1,792,792,316,114,0
0.22,climb_cruise,453.7,453.7,34992.3,-20,2.85,-2.58,357.21,3.14,15.0,125.0,0,0,-35.24,-12.41,-13.59,-0.039,0.120,0.028,1.000,0.100,0.100,0.100,1,91.2,94.2,792,793,316,115,0
0.24,climb_cruise,453.6,453.6,34992.3,-11,2.16,-2.83,356.98,2.45,15.0,125.0,0,0,-32.08,-11.84,-12.55,-0.017,0.132,0.032,1.000,0.100,0.100,0.100,1,91.0,94.3,792,793,316,115,0
0.26,climb_cruise,453.6,453.6,34992.3,-6,1.53,-3.07,356.77,1.83,15.0,125.0,0,0,-28.35,-11.29,-11.41,-0.000,0.143,0.037,1.000,0.100,0.100,0.100,1,90.8,94.4,792,793,316,114,0
0.28,climb_cruise,453.6,453.6,34992.4,-5,0.99,-3.29,356.58,1.28,15.0,125.0,0,0,-24.25,-10.79,-10.19,0.009,0.153,0.041,1.000,0.100,0.100,0.100,1,90.6,94.4,792,793,316,114,0
0.30,climb_cruise,453.6,453.6,34992.4,-7,0.53,-3.51,356.42,0.83,15.0,125.0,0,0,-19.96,-10.34,-8.95,0.011,0.162,0.045,1.000,0.100,0.100,0.100,1,90.5,94.5,792,793,316,114,0
0.32,climb_cruise,453.6,453.6,34992.4,-12,0.15,-3.71,356.27,0.47,15.0,125.0,0,0,-15.66,-9.95,-7.70,0.008,0.171,0.048,1.000,0.100,0.100,0.100,1,90.3,94.6,792,793,316,115,0
0.34,climb_cruise,453.5,453.5,34992.4,-19,-0.14,-3.91,356.15,0.19,15.0,125.0,0,0,-11.49,-9.62,-6.48,0.001,0.178,0.052,1.000,0.100,0.100,0.100,1,90.1,94.7,792,793,316,114,0
0.36,climb_cruise,453.5,453.5,34992.4,-27,-0.34,-4.10,356.04,-0.00,15.0,125.0,0,0,-7.57,-9.33,-5.32,-0.009,0.186,0.055,1.000,0.100,0.100,0.100,1,89.9,94.8,792,794,316,114,0
0.38,climb_cruise,453.5,453.5,34992.4,-36,-0.47,-4.28,355.95,-0.11,15.0,125.0,0,0,-3.99,-9.07,-4.23,-0.023,0.193,0.057,1.000,0.100,0.100,0.100,1,89.7,94.8,792,794,316,115,0
0.40,climb_cruise,453.5,453.5,34992.4,-45,-0.53,-4.46,355.88,-0.16,15.0,125.0,0,0,-0.83,-8.81,-3.22,-0.038,0.199,0.059,1.000,0.100,0.100,0.100,1,89.6,94.9,792,794,316,114,0
0.42,climb_cruise,453.5,453.5,34992.4,-55,-0.53,-4.63,355.82,-0.14,15.0,125.0,0,0,1.89,-8.56,-2.31,-0.055,0.205,0.061,1.000,0.100,0.100,0.100,1,89.4,95.0,792,794,316,115,0
0.44,climb_cruise,453.4,453.4,34992.4,-64,-0.48,-4.80,355.78,-0.07,15.0,125.0,0,0,4.13,-8.30,-1.50,-0.071,0.211,0.062,1.000,0.100,0.100,0.100,1,89.2,95.1,792,794,316,115,0
0.46,climb_cruise,453.4,453.4,34992.3,-73,-0.38,-4.96,355.75,0.05,15.0,125.0,0,0,5.85,-8.02,-0.81,-0.084,0.216,0.063,1.000,0.100,0.100,0.100,1,89.0,95.2,792,794,316,114,0
0.48,climb_cruise,453.4,453.4,34992.3,-81,-0.25,-5.12,355.72,0.19,15.0,125.0,0,0,7.07,-7.73,-0.22,-0.094,0.222,0.063,1.000,0.100,0.100,0.100,1,88.8,95.2,792,794,316,116,0
0.50,climb_cruise,453.4,453.4,34992.3,-88,-0.11,-5.27,355.71,0.35,15.0,125.0,0,0,7.81,-7.42,0.27,-0.101,0.227,0.064,1.000,0.100,0.100,0.100,1,88.7,95.3,792,794,316,115,0
0.52,climb_cruise,453.4,453.4,34992.2,-94,0.05,-5.42,355.70,0.53,15.0,125.0,0,0,8.10,-7.10,0.65,-0.105,0.232,0.063,1.000,0.100,0.100,0.100,1,88.5,95.4,792,794,316,114,0
0.54,climb_cruise,453.3,453.3,34992.2,-99,0.22,-5.56,355.70,0.71,15.0,125.0,0,0,8.00,-6.79,0.93,-0.107,0.237,0.063,1.000,0.100,0.100,0.100,1,88.3,95.5,792,795,316,114,0
0.56,climb_cruise,453.3,453.3,34992.1,-103,0.37,-5.69,355.71,0.88,15.0,125.0,0,0,7.57,-6.47,1.12,-0.106,0.241,0.062,1.000,0.100,0.100,0.100,1,88.1,95.5,792,795,316,115,0
0.58,climb_cruise,453.3,453.3,34992.1,-106,0.52,-5.82,355.72,1.04,15.0,125.0,0,0,6.88,-6.16,1.24,-0.104,0.246,0.062,1.000,0.100,0.100,0.100,1,88.0,95.6,792,795,316,116,0
0.60,climb_cruise,453.3,453.3,34992.0,-107,0.65,-5.94,355.73,1.19,15.0,125.0,0,0,5.99,-5.87,1.28,-0.100,0.251,0.061,1.000,0.100,0.100,0.100,1,87.8,95.7,792,795,316,115,0
0.62,climb_cruise,453.3,453.3,34992.0,-108,0.77,-6.05,355.74,1.31,15.0,125.0,0,0,4.98,-5.60,1.26,-0.096,0.255,0.059,1.000,0.100,0.100,0.100,1,87.6,95.8,792,795,316,116,0
0.64,climb_cruise,453.2,453.2,34992.0,-109,0.86,-6.16,355.76,1.41,15.0,125.0,0,0,3.89,-5.35,1.19,-0.091,0.260,0.058,1.000,0.100,0.100,0.100,1,87.4,95.8,792,795,316,115,0
0.66,climb_cruise,453.2,453.2,34991.9,-109,0.93,-6.27,355.77,1.49,15.0,125.0,0,0,2.80,-5.13,1.07,-0.086,0.265,0.057,1.000,0.100,0.100,0.100,1,87.3,95.9,792,795,316,114,0
0.68,climb_cruise,453.2,453.2,34991.9,-108,0.98,-6.37,355.79,1.55,15.0,125.0,0,0,1.75,-4.93,0.93,-0.080,0.269,0.056,1.000,0.100,0.100,0.100,1,87.1,96.0,792,795,316,116,0
0.70,climb_cruise,453.2,453.2,34991.8,-107,1.01,-6.46,355.80,1.59,15.0,125.0,0,0,0.77,-4.75,0.75,-0.076,0.274,0.054,1.000,0.100,0.100,0.100,1,86.9,96.0,792,795,316,114,0
0.72,climb_cruise,453.1,453.1,34991.8,-106,1.02,-6.56,355.81,1.60,15.0,125.0,0,0,-0.10,-4.60,0.57,-0.071,0.278,0.053,1.000,0.100,0.100,0.100,1,86.7,96.1,792,796,316,114,0
0.74,climb_cruise,453.1,453.1,34991.8,-105,1.01,-6.65,355.82,1.60,15.0,125.0,0,0,-0.84,-4.46,0.37,-0.068,0.283,0.052,1.000,0.100,0.100,0.100,1,86.6,96.2,792,796,316,115,0
0.76,climb_cruise,453.1,453.1,34991.7,-104,0.99,-6.74,355.83,1.58,15.0,125.0,0,0,-1.44,-4.34,0.16,-0.065,0.288,0.051,1.000,0.100,0.100,0.100,1,86.4,96.2,792,796,316,114,0
0.78,climb_cruise,453.1,453.1,34991.7,-103,0.96,-6.82,355.84,1.56,15.0,125.0,0,0,-1.89,-4.24,-0.04,-0.063,0.293,0.050,1.000,0.100,0.100,0.100,1,86.2,96.3,792,796,316,114,0
0.80,climb_cruise,453.0,453.0,34991.7,-102,0.92,-6.91,355.84,1.52,15.0,125.0,0,0,-2.20,-4.14,-0.23,-0.062,0.297,0.049,1.000,0.100,0.100,0.100,1,86.0,96.4,792,796,316,115,0
0.82,climb_cruise,453.0,453.0,34991.6,-102,0.87,-6.99,355.84,1.48,15.0,125.0,0,0,-2.37,-4.05,-0.41,-0.062,0.302,0.048,1.000,0.100,0.100,0.100,1,85.9,96.4,792,796,316,115,0
0.84,climb_cruise,453.0,453.0,34991.6,-102,0.82,-7.07,355.84,1.44,15.0,125.0,0,0,-2.42,-3.97,-0.58,-0.062,0.307,0.047,1.000,0.100,0.100,0.100,1,85.7,96.5,792,796,316,115,0
0.86,climb_cruise,453.0,453.0,34991.6,-102,0.78,-7.15,355.83,1.39,15.0,125.0,0,0,-2.35,-3.90,-0.73,-0.063,0.312,0.046,1.000,0.100,0.100,0.100,1,85.5,96.6,792,796,316,116,0
0.88,climb_cruise,453.0,453.0,34991.5,-102,0.73,-7.22,355.82,1.35,15.0,125.0,0,0,-2.20,-3.82,-0.87,-0.065,0.317,0.046,1.000,0.100,0.100,0.100,1,85.4,96.6,792,796,316,114,0
0.90,climb_cruise,452.9,452.9,34991.5,-103,0.68,-7.30,355.81,1.31,15.0,125.0,0,0,-1.98,-3.75,-0.98,-0.067,0.322,0.045,1.000,0.100,0.100,0.100,1,85.2,96.7,792,796,316,116,0
