time_s,phase,airspeed_kts,groundSpeed_kts,altitude_ft,verticalSpeed_fpm,pitch_deg,roll_deg,yaw_deg,alpha_deg,stallAlpha_deg,stallSpeed_kts,stallWarning,stall,pitchRate_deg_s,rollRate_deg_s,yawRate_deg_s,ctrlElevator,ctrlAileron,ctrlRudder,ctrlThrottle,effElevator,effAileron,effRudder,motionEnabled,eng1_n1,eng2_n1,eng1_failed,eng2_failed,eng1_fire,eng2_fire,hydPressA_psi,hydPressB_psi,elecVolts,onGround
0.36,climb_cruise,449.5,449.5,34999.3,-115,0.79,1.91,357.85,0.88,15.0,125.0,0,0,-3.37,7.91,2.82,-0.009,0.049,0.035,1.000,1.000,1.000,1.000,1,52.9,84.4,763,771,1,0,1,0,1816,2216,116,0
0.38,climb_cruise,449.5,449.5,34999.3,-119,0.72,2.06,357.91,0.81,15.0,125.0,0,0,-2.94,6.73,3.51,-0.011,0.043,0.035,1.000,1.000,1.000,1.000,1,52.8,84.5,763,772,1,0,1,0,1816,2216,114,0
0.40,climb_cruise,449.4,449.4,34999.3,-123,0.67,2.18,357.98,0.75,15.0,125.0,0,0,-2.23,5.41,4.00,-0.015,0.036,0.034,1.000,1.000,1.000,1.000,1,52.7,84.6,763,772,1,0,1,0,1816,2216,114,0
0.42,climb_cruise,449.4,449.4,34999.2,-128,0.63,2.28,358.06,0.72,15.0,125.0,0,0,-1.27,4.00,4.27,-0.018,0.030,0.034,1.000,1.000,1.000,1.000,1,52.6,84.6,763,772,1,0,1,0,1816,2216,115,0
0.44,climb_cruise,449.4,449.4,34999.2,-133,0.61,2.34,358.15,0.70,15.0,125.0,0,0,-0.14,2.55,4.34,-0.022,0.023,0.033,1.000,1.000,1.000,1.000,1,52.5,84.7,763,773,1,0,1,0,1816,2216,115,0
0.46,climb_cruise,449.4,449.4,34999.1,-138,0.61,2.38,358.23,0.71,15.0,125.0,0,0,1.09,1.12,4.22,-0.026,0.017,0.032,1.000,1.000,1.000,1.000,1,52.4,84.8,763,773,1,0,1,0,1816,2216,115,0
0.48,climb_cruise,449.3,449.3,34999.1,-143,0.64,2.39,358.32,0.74,15.0,125.0,0,0,2.31,-0.26,3.94,-0.030,0.012,0.030,1.000,1.000,1.000,1.000,1,52.3,84.9,763,773,1,0,1,0,1816,2216,114,0
0.50,climb_cruise,449.3,449.3,34999.0,-147,0.69,2.37,358.39,0.80,15.0,125.0,0,0,3.43,-1.55,3.52,-0.033,0.007,0.028,1.000,1.000,1.000,1.000,1,52.2,85.0,763,774,1,0,1,0,1816,2216,115,0
0.52,climb_cruise,449.3,449.3,34999.0,-152,0.77,2.33,358.46,0.88,15.0,125.0,0,0,4.37,-2.70,2.98,-0.035,0.003,0.027,1.000,1.000,1.000,1.000,1,52.1,85.1,763,774,1,0,1,0,1816,2216,114,0
0.54,climb_cruise,449.3,449.3,34998.9,-156,0.86,2.27,358.52,0.97,15.0,125.0,0,0,5.04,-3.71,2.36,-0.036,-0.001,0.025,1.000,1.000,1.000,1.000,1,52.0,85.2,763,775,1,0,1,0,1816,2216,116,0
0.56,climb_cruise,449.2,449.2,34998.9,-159,0.96,2.19,358.57,1.08,15.0,125.0,0,0,5.38,-4.54,1.68,-0.036,-0.003,0.024,1.000,1.000,1.000,1.000,1,51.9,85.3,763,775,1,0,1,0,1816,2216,114,0
0.58,climb_cruise,449.2,449.2,34998.8,-161,1.07,2.09,358.60,1.20,15.0,125.0,0,0,5.36,-5.19,0.98,-0.035,-0.005,0.022,1.000,1.000,1.000,1.000,1,51.8,85.4,763,775,1,0,1,0,1816,2216,114,0
