time_s,phase,airspeed_kts,groundSpeed_kts,altitude_ft,verticalSpeed_fpm,pitch_deg,roll_deg,yaw_deg,alpha_deg,stallAlpha_deg,stallSpeed_kts,stallWarning,stall,pitchRate_deg_s,rollRate_deg_s,yawRate_deg_s,ctrlElevator,ctrlAileron,ctrlRudder,ctrlThrottle,effElevator,effAileron,effRudder,motionEnabled,eng1_n1,eng2_n1,eng1_egt,eng2_egt,hydPress_psi,elecVolts,onGround
0.00,climb_cruise,449.9,449.9,34999.9,-49,0.26,-0.00,359.97,0.31,15.0,125.0,0,0,2.96,-0.34,-3.22,-0.005,-0.000,-0.000,1.000,0.100,0.100,0.100,1,84.2,84.3,763,763,316,114,0
0.02,climb_cruise,449.9,449.9,34999.9,-56,0.32,-0.02,359.89,0.38,15.0,125.0,0,0,2.38,-1.17,-5.84,-0.010,0.001,0.000,1.000,0.100,0.100,0.100,1,84.1,84.2,763,764,316,115,0
0.04,climb_cruise,449.9,449.9,34999.8,-62,0.36,-0.05,359.75,0.43,15.0,125.0,0,0,1.83,-2.13,-7.92,-0.015,0.005,0.001,1.000,0.100,0.100,0.100,1,83.9,84.2,763,764,316,115,0
0.06,climb_cruise,449.9,449.9,34999.8,-68,0.39,-0.10,359.58,0.47,15.0,125.0,0,0,1.33,-3.08,-9.48,-0.019,0.011,0.001,1.000,0.100,0.100,0.100,1,83.7,84.1,763,764,316,115,0
0.08,climb_cruise,449.8,449.8,34999.8,-74,0.41,-0.17,359.38,0.50,15.0,125.0,0,0,0.88,-3.96,-10.58,-0.023,0.019,0.003,1.000,0.100,0.100,0.100,1,83.6,84.1,763,765,316,116,0
0.10,climb_cruise,449.8,449.8,34999.8,-80,0.43,-0.25,359.16,0.53,15.0,125.0,0,0,0.48,-4.75,-11.27,-0.025,0.028,0.005,1.000,0.100,0.100,0.100,1,83.4,84.1,763,765,316,115,0
0.12,climb_cruise,449.8,449.8,34999.7,-85,0.43,-0.36,358.94,0.54,15.0,125.0,0,0,0.14,-5.44,-11.59,-0.027,0.038,0.007,1.000,0.100,0.100,0.100,1,83.2,84.0,763,766,316,116,0
0.14,climb_cruise,449.8,449.8,34999.7,-91,0.43,-0.47,358.70,0.56,15.0,125.0,0,0,-0.15,-6.03,-11.60,-0.029,0.047,0.010,1.000,0.100,0.100,0.100,1,83.1,84.0,763,766,316,116,0
0.16,climb_cruise,449.7,449.7,34999.7,-96,0.43,-0.60,358.47,0.56,15.0,125.0,0,0,-0.38,-6.53,-11.35,-0.031,0.057,0.013,1.000,0.100,0.100,0.100,1,82.9,84.0,763,767,316,114,0
0.18,climb_cruise,449.7,449.7,34999.6,-101,0.41,-0.73,358.25,0.56,15.0,125.0,0,0,-0.56,-6.93,-10.88,-0.033,0.066,0.016,1.000,0.100,0.100,0.100,1,82.7,84.0,763,767,316,116,0
0.20,climb_cruise,449.7,449.7,34999.6,-107,0.40,-0.87,358.04,0.56,15.0,125.0,0,0,-0.69,-7.24,-10.24,-0.034,0.075,0.020,1.000,0.100,0.100,0.100,1,82.6,84.1,763,768,316,116,0
0.22,climb_cruise,449.7,449.7,34999.6,-112,0.38,-1.02,357.84,0.56,15.0,125.0,0,0,-0.78,-7.48,-9.47,-0.036,0.083,0.023,1.000,0.100,0.100,0.100,1,82.4,84.1,763,768,316,116,0
0.24,climb_cruise,449.6,449.6,34999.5,-118,0.36,-1.17,357.66,0.56,15.0,125.0,0,0,-0.83,-7.64,-8.60,-0.038,0.090,0.027,1.000,0.100,0.100,0.100,1,82.2,84.1,763,768,316,114,0
0.26,climb_cruise,449.6,449.6,34999.5,-123,0.34,-1.33,357.49,0.55,15.0,125.0,0,0,-0.85,-7.73,-7.68,-0.041,0.097,0.030,1.000,0.100,0.100,0.100,1,82.1,84.1,763,769,316,114,0
0.28,climb_cruise,449.6,449.6,34999.5,-129,0.32,-1.48,357.35,0.55,15.0,125.0,0,0,-0.84,-7.76,-6.74,-0.043,0.104,0.033,1.000,0.100,0.100,0.100,1,81.9,84.2,763,769,316,115,0
0.30,climb_cruise,449.6,449.6,34999.4,-134,0.30,-1.64,357.22,0.55,15.0,125.0,0,0,-0.81,-7.74,-5.80,-0.045,0.110,0.036,1.000,0.100,0.100,0.100,1,81.7,84.2,763,770,316,114,0
0.32,climb_cruise,449.5,449.5,34999.4,-140,0.28,-1.79,357.11,0.55,15.0,125.0,0,0,-0.76,-7.67,-4.87,-0.048,0.115,0.039,1.000,0.100,0.100,0.100,1,81.6,84.3,763,770,316,115,0
0.34,climb_cruise,449.5,449.5,34999.3,-146,0.26,-1.95,357.02,0.55,15.0,125.0,0,0,-0.70,-7.56,-3.99,-0.050,0.120,0.041,1.000,0.100,0.100,0.100,1,81.4,84.3,763,771,316,116,0
0.36,climb_cruise,449.5,449.5,34999.3,-151,0.25,-2.10,356.95,0.55,15.0,125.0,0,0,-0.63,-7.42,-3.17,-0.053,0.124,0.043,1.000,0.100,0.100,0.100,1,81.3,84.4,763,771,316,114,0
0.38,climb_cruise,449.5,449.5,34999.2,-157,0.23,-2.24,356.89,0.55,15.0,125.0,0,0,-0.55,-7.25,-2.41,-0.055,0.128,0.044,1.000,0.100,0.100,0.100,1,81.1,84.5,763,771,316,114,0
0.40,climb_cruise,449.5,449.5,34999.2,-162,0.22,-2.39,356.85,0.55,15.0,125.0,0,0,-0.48,-7.06,-1.73,-0.058,0.132,0.046,1.000,0.100,0.100,0.100,1,80.9,84.5,763,772,316,115,0
0.42,climb_cruise,449.4,449.4,34999.1,-168,0.21,-2.53,356.82,0.56,15.0,125.0,0,0,-0.40,-6.86,-1.13,-0.061,0.136,0.047,1.000,0.100,0.100,0.100,1,80.8,84.6,763,772,316,114,0
0.44,climb_cruise,449.4,449.4,34999.1,-174,0.20,-2.66,356.80,0.57,15.0,125.0,0,0,-0.33,-6.65,-0.61,-0.063,0.139,0.047,1.000,0.100,0.100,0.100,1,80.6,84.7,763,772,316,115,0
0.46,climb_cruise,449.4,449.4,34999.0,-179,0.20,-2.79,356.79,0.57,15.0,125.0,0,0,-0.27,-6.43,-0.17,-0.066,0.142,0.048,1.000,0.100,0.100,0.100,1,80.4,84.8,763,773,316,115,0
0.48,climb_cruise,449.4,449.4,34998.9,-185,0.19,-2.92,356.79,0.58,15.0,125.0,0,0,-0.21,-6.22,0.19,-0.068,0.145,0.048,1.000,0.100,0.100,0.100,1,80.3,84.9,763,773,316,115,0
0.50,climb_cruise,449.3,449.3,34998.9,-190,0.19,-3.04,356.80,0.59,15.0,125.0,0,0,-0.15,-6.00,0.47,-0.071,0.148,0.048,1.000,0.100,0.100,0.100,1,80.1,85.0,763,774,316,115,0
0.52,climb_cruise,449.3,449.3,34998.8,-196,0.19,-3.16,356.81,0.60,15.0,125.0,0,0,-0.11,-5.79,0.67,-0.073,0.150,0.047,1.000,0.100,0.100,0.100,1,80.0,85.0,763,774,316,115,0
0.54,climb_cruise,449.3,449.3,34998.7,-201,0.18,-3.28,356.83,0.61,15.0,125.0,0,0,-0.07,-5.59,0.81,-0.076,0.153,0.047,1.000,0.100,0.100,0.100,1,79.8,85.1,763,774,316,114,0
0.56,climb_cruise,449.3,449.3,34998.7,-207,0.18,-3.39,356.84,0.62,15.0,125.0,0,0,-0.04,-5.40,0.89,-0.078,0.156,0.046,1.000,0.100,0.100,0.100,1,79.6,85.2,763,775,316,115,0
0.58,climb_cruise,449.2,449.2,34998.6,-212,0.19,-3.49,356.86,0.64,15.0,125.0,0,0,-0.01,-5.21,0.92,-0.080,0.159,0.046,1.000,0.100,0.100,0.100,1,79.5,85.3,763,775,316,114,0
0.60,climb_cruise,449.2,449.2,34998.5,-217,0.19,-3.59,356.88,0.65,15.0,125.0,0,0,0.01,-5.04,0.90,-0.082,0.162,0.045,1.000,0.100,0.100,0.100,1,79.3,85.4,763,775,316,115,0
0.62,climb_cruise,449.2,449.2,34998.5,-222,0.19,-3.69,356.90,0.66,15.0,125.0,0,0,0.02,-4.89,0.85,-0.085,0.165,0.044,1.000,0.100,0.100,0.100,1,79.2,85.6,763,776,316,115,0
0.64,climb_cruise,449.2,449.2,34998.4,-227,0.19,-3.79,356.91,0.67,15.0,125.0,0,0,0.03,-4.74,0.76,-0.087,0.168,0.043,1.000,0.100,0.100,0.100,1,79.0,85.7,763,776,316,116,0
0.66,climb_cruise,449.1,449.1,34998.3,-232,0.19,-3.88,356.93,0.68,15.0,125.0,0,0,0.04,-4.61,0.64,-0.089,0.172,0.042,1.000,0.100,0.100,0.100,1,78.8,85.8,763,776,316,114,0
0.68,climb_cruise,449.1,449.1,34998.2,-237,0.19,-3.97,356.94,0.69,15.0,125.0,0,0,0.05,-4.49,0.51,-0.091,0.175,0.041,1.000,0.100,0.100,0.100,1,78.7,85.9,763,777,316,115,0
0.70,climb_cruise,449.1,449.1,34998.1,-242,0.19,-4.06,356.95,0.71,15.0,125.0,0,0,0.05,-4.38,0.36,-0.093,0.178,0.040,1.000,0.100,0.100,0.100,1,78.5,86.0,763,777,316,116,0
0.72,climb_cruise,449.1,449.1,34998.1,-247,0.20,-4.15,356.95,0.72,15.0,125.0,0,0,0.05,-4.28,0.20,-0.095,0.182,0.039,1.000,0.100,0.100,0.100,1,78.4,86.1,763,777,316,116,0
0.74,climb_cruise,449.1,449.1,34998.0,-252,0.20,-4.23,356.96,0.73,15.0,125.0,0,0,0.05,-4.19,0.04,-0.097,0.186,0.039,1.000,0.100,0.100,0.100,1,78.2,86.2,763,778,316,115,0
0.76,climb_cruise,449.0,449.0,34997.9,-257,0.20,-4.32,356.96,0.74,15.0,125.0,0,0,0.05,-4.11,-0.12,-0.099,0.190,0.038,1.000,0.100,0.100,0.100,1,78.1,86.3,763,778,316,114,0
0.78,climb_cruise,449.0,449.0,34997.8,-262,0.20,-4.40,356.95,0.75,15.0,125.0,0,0,0.06,-4.04,-0.27,-0.101,0.193,0.037,1.000,0.100,0.100,0.100,1,77.9,86.5,763,778,316,115,0
0.80,climb_cruise,449.0,449.0,34997.7,-266,0.20,-4.48,356.95,0.76,15.0,125.0,0,0,0.06,-3.97,-0.42,-0.103,0.197,0.037,1.000,0.100,0.100,0.100,1,77.8,86.6,763,779,316,115,0
0.82,climb_cruise,449.0,449.0,34997.6,-271,0.20,-4.56,356.94,0.77,15.0,125.0,0,0,0.06,-3.91,-0.56,-0.105,0.201,0.036,1.000,0.100,0.100,0.100,1,77.6,86.7,763,779,316,115,0
0.84,climb_cruise,448.9,448.9,34997.5,-275,0.20,-4.64,356.92,0.78,15.0,125.0,0,0,0.07,-3.85,-0.69,-0.107,0.206,0.035,1.000,0.100,0.100,0.100,1,77.4,86.8,763,779,316,116,0
0.86,climb_cruise,448.9,448.9,34997.4,-280,0.20,-4.71,356.91,0.79,15.0,125.0,0,0,0.08,-3.80,-0.80,-0.110,0.210,0.035,1.000,0.100,0.100,0.100,1,77.3,86.9,763,779,316,114,0
0.88,climb_cruise,448.9,448.9,34997.4,-284,0.20,-4.79,356.89,0.80,15.0,125.0,0,0,0.08,-3.75,-0.91,-0.112,0.214,0.035,1.000,0.100,0.100,0.100,1,77.1,87.1,763,780,316,115,0
0.90,climb_cruise,448.9,448.9,34997.3,-289,0.20,-4.86,356.87,0.81,15.0,125.0,0,0,0.09,-3.70,-1.00,-0.114,0.218,0.034,1.000,0.100,0.100,0.100,1,77.0,87.2,763,780,316,114,0
0.92,climb_cruise,448.9,448.9,34997.2,-293,0.20,-4.94,356.85,0.82,15.0,125.0,0,0,0.10,-3.65,-1.07,-0.116,0.222,0.034,1.000,0.100,0.100,0.100,1,76.8,87.3,763,780,316,116,0
0.94,climb_cruise,448.8,448.8,34997.1,-297,0.20,-5.01,356.83,0.84,15.0,125.0,0,0,0.11,-3.61,-1.14,-0.118,0.227,0.034,1.000,0.100,0.100,0.100,1,76.7,87.4,763,781,316,116,0
0.96,climb_cruise,448.8,448.8,34997.0,-302,0.20,-5.08,356.81,0.85,15.0,125.0,0,0,0.12,-3.56,-1.19,-0.120,0.231,0.034,1.000,0.100,0.100,0.100,1,76.5,87.6,763,781,316,115,0
0.98,climb_cruise,448.8,448.8,34996.9,-306,0.20,-5.15,356.78,0.86,15.0,125.0,0,0,0.13,-3.51,-1.23,-0.123,0.235,0.034,1.000,0.100,0.100,0.100,1,76.4,87.7,763,781,316,116,0
1.00,climb_cruise,448.8,448.8,34996.8,-310,0.20,-5.22,356.76,0.87,15.0,125.0,0,0,0.14,-3.47,-1.26,-0.125,0.239,0.034,1.000,0.100,0.100,0.100,1,76.2,87.8,763,781,316,115,0
1.02,climb_cruise,448.7,448.7,34996.7,-314,0.20,-5.29,356.73,0.88,15.0,125.0,0,0,0.16,-3.42,-1.28,-0.127,0.243,0.034,1.000,0.100,0.100,0.100,1,76.1,87.9,763,782,316,116,0
1.04,climb_cruise,448.7,448.7,34996.5,-318,0.20,-5.36,356.71,0.89,15.0,125.0,0,0,0.17,-3.36,-1.29,-0.129,0.248,0.034,1.000,0.100,0.100,0.100,1,75.9,88.1,763,782,316,114,0
1.06,climb_cruise,448.7,448.7,34996.4,-322,0.21,-5.42,356.68,0.90,15.0,125.0,0,0,0.18,-3.31,-1.29,-0.132,0.252,0.034,1.000,0.100,0.100,0.100,1,75.8,88.2,763,782,316,115,0
1.08,climb_cruise,448.7,448.7,34996.3,-326,0.21,-5.49,356.66,0.91,15.0,125.0,0,0,0.19,-3.26,-1.29,-0.134,0.256,0.034,1.000,0.100,0.100,0.100,1,75.6,88.3,763,782,316,114,0
1.10,climb_cruise,448.7,448.7,34996.2,-330,0.21,-5.55,356.63,0.93,15.0,125.0,0,0,0.20,-3.20,-1.28,-0.136,0.260,0.035,1.000,0.100,0.100,0.100,1,75.5,88.4,763,783,316,115,0
1.12,climb_cruise,448.6,448.6,34996.1,-334,0.21,-5.62,356.60,0.94,15.0,125.0,0,0,0.21,-3.15,-1.26,-0.138,0.264,0.035,1.000,0.100,0.100,0.100,1,75.3,88.6,763,783,316,115,0
1.14,climb_cruise,448.6,448.6,34996.0,-337,0.21,-5.68,356.58,0.95,15.0,125.0,0,0,0.22,-3.09,-1.25,-0.141,0.268,0.035,1.000,0.100,0.100,0.100,1,75.2,88.7,763,783,316,114,0
1.16,climb_cruise,448.6,448.6,34995.9,-341,0.21,-5.74,356.55,0.96,15.0,125.0,0,0,0.23,-3.03,-1.23,-0.143,0.272,0.035,1.000,0.100,0.100,0.100,1,75.0,88.8,763,783,316,114,0
1.18,climb_cruise,448.6,448.6,34995.8,-345,0.22,-5.80,356.53,0.97,15.0,125.0,0,0,0.24,-2.97,-1.21,-0.145,0.276,0.035,1.000,0.100,0.100,0.100,1,74.9,88.9,763,784,316,114,0
1.20,climb_cruise,448.5,448.5,34995.7,-348,0.22,-5.86,356.50,0.99,15.0,125.0,0,0,0.25,-2.90,-1.18,-0.147,0.280,0.035,1.000,0.100,0.100,0.100,1,74.7,89.1,763,784,316,115,0
1.22,climb_cruise,448.5,448.5,34995.5,-352,0.22,-5.92,356.48,1.00,15.0,125.0,0,0,0.26,-2.84,-1.16,-0.150,0.284,0.036,1.000,0.100,0.100,0.100,1,74.6,89.2,763,784,316,116,0
1.24,climb_cruise,448.5,448.5,34995.4,-355,0.22,-5.97,356.46,1.01,15.0,125.0,0,0,0.27,-2.78,-1.14,-0.152,0.288,0.036,1.000,0.100,0.100,0.100,1,74.4,89.3,763,784,316,114,0
1.26,climb_cruise,448.5,448.5,34995.3,-358,0.23,-6.03,356.43,1.02,15.0,125.0,0,0,0.28,-2.72,-1.12,-0.154,0.291,0.036,1.000,0.100,0.100,0.100,1,74.3,89.4,763,785,316,116,0
1.28,climb_cruise,448.5,448.5,34995.2,-362,0.23,-6.08,356.41,1.03,15.0,125.0,0,0,0.29,-2.65,-1.10,-0.156,0.295,0.036,1.000,0.100,0.100,0.100,1,74.1,89.5,763,785,316,116,0
1.30,climb_cruise,448.4,448.4,34995.1,-365,0.23,-6.13,356.39,1.05,15.0,125.0,0,0,0.30,-2.59,-1.08,-0.158,0.299,0.036,1.000,0.100,0.100,0.100,1,74.0,89.7,763,785,316,116,0
