Arpt_ICAO	Procedure Type	Procedure Ident
KCPS	STAR	BUUDD3
KCPS	STAR	DELMA4
KCPS	STAR	DIXEE3
KCPS	STAR	FARMR3
KCPT	SIAP	L15
KCPT	SIAP	R15
KCPT	SIAP	R33
KCPT	SID	BOTCH2
KCPT	SID	GARL6
KCPT	SID	JPOOL8
KCPT	SID	KING5
KCPT	SID	KUSSO3
KCPT	SID	NANDR4
KCPT	STAR	MOTZA1
KCPT	STAR	REEKO3
KCPT	STAR	SASIE8
KCPT	STAR	SWVAY4
KCPT	STAR	TRUUK3
KCPT	STAR	WESAT3
KCPU	SIAP	R31
KCQA	SIAP	R08
KCQA	SIAP	R26
KCQB	SIAP	R17
KCQB	SIAP	R35
KCQF	SIAP	R01
KCQF	SIAP	R19
KCQF	SIAP	VDM-A
KCQM	SIAP	R13
KCQM	SIAP	R31
KCQW	SIAP	D08
KCQW	SIAP	R08
KCQW	SIAP	R26
KCQX	SIAP	RNV-B
KCRE	SIAP	I23
KCRE	SIAP	L23
KCRE	SIAP	R05
KCRE	SIAP	R23
KCRG	SIAP	I32
KCRG	SIAP	L32
KCRG	SIAP	R14
KCRG	SIAP	R32
KCRG	SIAP	S14
KCRG	STAR	ALCRN1
KCRG	STAR	HOTAR1
KCRG	STAR	MARQO3
KCRG	STAR	POGIE2
KCRG	STAR	QUBEN2
KCRG	STAR	TEBOW2
KCRP	SIAP	H13-Z
KCRP	SIAP	H31-Z
KCRP	SIAP	H36-Z
KCRP	SIAP	I13
KCRP	SIAP	I36
KCRP	SIAP	L13
KCRP	SIAP	L31
KCRP	SIAP	L36
KCRP	SIAP	R13-Y
KCRP	SIAP	R18
KCRP	SIAP	R31-X
KCRP	SIAP	R31-Y
KCRP	SIAP	R36-Y
KCRP	SIAP	S18
KCRQ	SIAP	H06-Z
KCRQ	SIAP	H24-Z
KCRQ	SIAP	I24
KCRQ	SIAP	L24
KCRQ	SIAP	R06-Y
KCRQ	SIAP	R24-Y
KCRQ	SID	CWARD2
KCRQ	SID	PADRZ2
KCRQ	STAR	LEGOZ4
KCRS	SIAP	R14
KCRS	SIAP	R32
KCRT	SIAP	R23
KCRW	SIAP	H05-Z
KCRW	SIAP	H23-Z
KCRW	SIAP	I05
KCRW	SIAP	I23
KCRW	SIAP	L05
KCRW	SIAP	L23
KCRW	SIAP	R05-Y
KCRW	SIAP	R23-Y
KCRW	SIAP	VOR-A
KCRX	SIAP	I18
KCRX	SIAP	L18
KCRX	SIAP	R18
KCRX	SIAP	R36
KCRZ	SIAP	R18
KCSB	SIAP	R15
KCSB	SIAP	R33
KCSG	SIAP	I06
KCSG	SIAP	L06
KCSG	SIAP	R06
KCSG	SIAP	R13
KCSG	SIAP	R24
KCSM	SIAP	I17R
KCSM	SIAP	L17R
KCSM	SIAP	R17R
KCSM	SIAP	R35L
KCSM	SIAP	S35L
KCSQ	SIAP	R16
KCSQ	SIAP	R34
KCSV	SIAP	I26-Y
KCSV	SIAP	I26-Z
KCSV	SIAP	L26-Y
KCSV	SIAP	L26-Z
KCSV	SIAP	R08
KCSV	SIAP	R26
KCTB	SIAP	R05
KCTB	SIAP	R14
KCTB	SIAP	R23
KCTB	SIAP	R32
KCTB	SIAP	S32
KCTB	SID	MRIAS3
KCTJ	SIAP	R17
KCTJ	SIAP	R35
KCTJ	STAR	DEHAN3
KCTK	SIAP	R18
KCTK	SIAP	R36
KCTK	SIAP	VOR-A
KCTY	SIAP	R31
KCTY	SIAP	RNV-A
KCTY	SIAP	RNV-B
KCTZ	SIAP	R06
KCTZ	SIAP	R24-Y
KCTZ	SIAP	R24-Z
KCTZ	SIAP	VDM-A
KCUB	SIAP	L31
KCUB	SIAP	R13
KCUB	SIAP	R31
KCUH	SIAP	R18
KCUH	SIAP	R36
KCUL	SIAP	R18
KCUL	SIAP	R36
KCVB	SIAP	R16
KCVB	SIAP	R34
KCVB	SID	ALISS7
KCVB	SID	SLENA2
KCVB	SID	SNIDR2
KCVB	SID	TJANO2
KCVB	SID	YODUH2
KCVB	STAR	CRVZA2
KCVB	STAR	DNKIN2
KCVB	STAR	POPPO2
KCVB	STAR	QERVO3
KCVC	SIAP	R10
KCVC	SIAP	R28
KCVC	STAR	BUKHD3
KCVC	STAR	DEHAN3
KCVC	STAR	SWTEE2
KCVG	SIAP	H09-Z
KCVG	SIAP	H18CZ
KCVG	SIAP	H18LZ
KCVG	SIAP	H18RZ
KCVG	SIAP	H27-Z
KCVG	SIAP	H36CZ
KCVG	SIAP	H36LZ
KCVG	SIAP	H36RZ
KCVG	SIAP	I09
KCVG	SIAP	I18C
KCVG	SIAP	I18L
KCVG	SIAP	I18R
KCVG	SIAP	I27
KCVG	SIAP	I36C
KCVG	SIAP	I36L
KCVG	SIAP	I36R
KCVG	SIAP	L09
KCVG	SIAP	L18C
KCVG	SIAP	L18L
KCVG	SIAP	L18R
KCVG	SIAP	L27
KCVG	SIAP	L36C
KCVG	SIAP	L36L
KCVG	SIAP	L36R
KCVG	SIAP	R09-Y
KCVG	SIAP	R18CY
KCVG	SIAP	R18LY
KCVG	SIAP	R18RY
KCVG	SIAP	R27-Y
KCVG	SIAP	R36CY
KCVG	SIAP	R36LY
KCVG	SIAP	R36RY
KCVG	SID	BNGLE5
KCVG	SID	CHCLL6
KCVG	SID	GIPLE7
KCVG	SID	HAGOL5
KCVG	SID	JBNCH6
KCVG	SID	KENLN6
KCVG	SID	LOVEY8
KCVG	SID	ROCKT4
KCVG	SID	SILKS6
KCVG	STAR	CEGRM8
KCVG	STAR	GAVNN8
KCVG	STAR	JAKIE7
KCVG	STAR	SARGO5
KCVG	STAR	TIGRR4
KCVH	SIAP	R13
KCVH	SIAP	R31
KCVK	SIAP	R04
KCVK	SIAP	R22
KCVN	SIAP	I04
KCVN	SIAP	R04
KCVN	SIAP	R22
KCVN	SIAP	R30
KCVN	SIAP	S22
KCVO	SIAP	I17
KCVO	SIAP	L17
KCVO	SIAP	R17
KCVO	SIAP	R35
KCVO	SIAP	S17
KCVO	SID	SHEDD4
KCVX	SIAP	R09
KCVX	SIAP	R27
KCWA	SIAP	I08
KCWA	SIAP	I35
KCWA	SIAP	L08
KCWA	SIAP	L35
KCWA	SIAP	R08
KCWA	SIAP	R17
KCWA	SIAP	R26
KCWA	SIAP	R35
KCWC	SIAP	R35
KCWF	SIAP	I15
KCWF	SIAP	L15
KCWF	SIAP	R15
KCWF	SIAP	R33
KCWI	SIAP	I03
KCWI	SIAP	L03
KCWI	SIAP	R03
KCWI	SIAP	R14
KCWI	SIAP	R21
KCWI	SIAP	R32
KCWV	SIAP	R10
KCWV	SIAP	R28
KCXE	SIAP	R18
KCXE	SIAP	R36
KCXO	SIAP	I14
KCXO	SIAP	L14
KCXO	SIAP	N14
KCXO	SIAP	R01
KCXO	SIAP	R14
KCXO	SIAP	R19
KCXO	SIAP	R32
KCXO	SID	AEX3
KCXO	SID	BLTWY7
KCXO	SID	BORRN6
KCXO	SID	CRIED1
KCXO	SID	ELD1
KCXO	SID	GIFFA1
KCXO	SID	HOODO7
KCXO	SID	INDIE8
KCXO	SID	JCT1
KCXO	SID	KARRR7
KCXO	SID	LCH5
KCXO	SID	LFK4
KCXO	SID	LOA4
KCXO	SID	LURIC8
KCXO	SID	MMALT7
KCXO	SID	STRYA8
KCXO	SID	STYCK8
KCXO	SID	WATFO6
KCXO	SID	WYLSN8
KCXO	STAR	BAZBL1
KCXO	STAR	CESAN4
KCXO	STAR	HUDZY5
KCXO	STAR	OHIIO4
KCXO	STAR	PIEGY1
KCXO	STAR	RIICE1
KCXP	SIAP	R27
KCXP	SIAP	RNV-A
KCXP	SIAP	RNV-B
KCXP	SID	JIMPA2
KCXU	SIAP	R08
KCXU	SIAP	R26
KCXW	SIAP	R04
KCXW	SIAP	R22
KCXY	SIAP	I08
KCXY	SIAP	L08
KCXY	SIAP	R08
KCXY	SIAP	R26
KCYO	SIAP	R01
KCYO	SIAP	R19
KCYS	SIAP	I27
KCYS	SIAP	L27
KCYS	SIAP	R09
KCYS	SIAP	R13
KCYS	SIAP	R27
KCYS	SIAP	R31
KCYW	SIAP	R17
KCYW	SIAP	R35
KCZD	SIAP	R13
KCZD	SIAP	R31
KCZG	SIAP	R03
KCZG	SIAP	R21
KCZG	SIAP	VOR-A
KCZL	SIAP	R17
KCZL	SIAP	R35
KCZT	SIAP	R13
KCZT	SIAP	R31
KDAA	SID	CLTCH3
KDAA	SID	JDUBB4
KDAA	SID	SCRAM6
KDAA	STAR	FRDMM6
KDAA	STAR	NUMMY3
KDAA	STAR	TIKEE4
KDAA	STAR	TRUPS5
KDAB	SIAP	I07L
KDAB	SIAP	I25R
KDAB	SIAP	L07L
KDAB	SIAP	L25R
KDAB	SIAP	R07L
KDAB	SIAP	R07R
KDAB	SIAP	R16
KDAB	SIAP	R25R
KDAB	SIAP	R34
KDAB	SID	ROYES7
KDAB	STAR	TTHOR3
KDAF	SIAP	R36
KDAG	SIAP	R22
KDAG	SIAP	R26
KDAG	SIAP	S22
KDAG	SID	DAG1
KDAL	SIAP	H13LW
KDAL	SIAP	H13LX
KDAL	SIAP	H13RW
KDAL	SIAP	H13RX
KDAL	SIAP	H31LZ
KDAL	SIAP	H31RZ
KDAL	SIAP	I13L
KDAL	SIAP	I13R
KDAL	SIAP	I31L
KDAL	SIAP	I31R
KDAL	SIAP	L13L
KDAL	SIAP	L13R
KDAL	SIAP	L31L
KDAL	SIAP	L31R
KDAL	SIAP	R13LY
KDAL	SIAP	R13LZ
KDAL	SIAP	R13RY
KDAL	SIAP	R13RZ
KDAL	SIAP	R31LY
KDAL	SIAP	R31RY
KDAL	SID	BACH2
KDAL	SID	BOTCH2
KDAL	SID	CURLO6
KDAL	SID	CYOTE4
KDAL	SID	DALL4
KDAL	SID	EMMTT4
KDAL	SID	ESNYE7
KDAL	SID	GARL6
KDAL	SID	JPOOL8
KDAL	SID	KING5
KDAL	SID	KKITY5
KDAL	SID	KRUMM1
KDAL	SID	KUSSO3
KDAL	SID	LNDRE5
KDAL	SID	LOVE7
KDAL	SID	RAMBL6
KDAL	SID	SNSET4
KDAL	SID	SWTSR7
KDAL	SID	TEX5
KDAL	SID	VENUS4
KDAL	SID	WORTH1
KDAL	STAR	BACHR4
KDAL	STAR	CRIKT1
KDAL	STAR	DRYYE2
KDAL	STAR	FINGR1
KDAL	STAR	GREGS1
KDAL	STAR	HERBZ2
KDAL	STAR	HIBIL3
KDAL	STAR	JFRYE5
KDAL	STAR	MNNDO4
KDAL	STAR	REDDN4
KDAL	STAR	SWVAY4
KDAL	STAR	YEAGR4
KDAN	SIAP	I02
KDAN	SIAP	L02
KDAN	SIAP	R02
KDAN	SIAP	R20
KDAN	SIAP	R31
KDAW	SIAP	R15
KDAW	SIAP	R33
KDAY	SIAP	H06LY
KDAY	SIAP	H24RY
KDAY	SIAP	I06L
KDAY	SIAP	I18
KDAY	SIAP	I24L
KDAY	SIAP	I24R
KDAY	SIAP	L06L
KDAY	SIAP	L18
KDAY	SIAP	L24L
KDAY	SIAP	L24R
KDAY	SIAP	R06LZ
KDAY	SIAP	R06R
KDAY	SIAP	R18
KDAY	SIAP	R24L
KDAY	SIAP	R24RZ
KDAY	SIAP	R36
KDAY	SID	DAY9
KDAY	STAR	DANEI3
KDBN	SIAP	I02
KDBN	SIAP	L02
KDBN	SIAP	R02
KDBN	SIAP	R20
KDBQ	SIAP	L31
KDBQ	SIAP	R13
KDBQ	SIAP	R18
KDBQ	SIAP	R31
KDBQ	SIAP	R36
KDCA	SIAP	H19-Z
KDCA	SIAP	I01
KDCA	SIAP	L01
KDCA	SIAP	R01
KDCA	SIAP	R15
KDCA	SIAP	X19
KDCA	SID	AMEEE1
KDCA	SID	CLTCH3
KDCA	SID	DOCTR5
KDCA	SID	HORTO4
KDCA	SID	JDUBB4
KDCA	SID	REBLL5
KDCA	SID	SCRAM6
KDCA	SID	SOOKI6
KDCA	SID	WYNGS5
KDCA	STAR	CAPSS4
KDCA	STAR	CLIPR3
KDCA	STAR	DEALE3
KDCA	STAR	FRDMM6
KDCA	STAR	IRONS7
KDCA	STAR	NUMMY3
KDCA	STAR	SKILS5
KDCA	STAR	TIKEE4
KDCA	STAR	TRUPS5
KDCM	SIAP	R17
KDCM	SIAP	R35
KDCM	STAR	JOOLS2
KDCM	STAR	LIINN3
KDCM	STAR	MAJIC4
KDCM	STAR	RASLN3
KDCU	SIAP	I18
KDCU	SIAP	L18
KDCU	SIAP	R18
KDCU	SIAP	R36
KDCY	SIAP	R18
KDCY	SIAP	R36
KDDC	SIAP	I14
KDDC	SIAP	L14
KDDC	SIAP	R02
KDDC	SIAP	R14
KDDC	SIAP	R20
KDDC	SIAP	R32
KDDH	SIAP	R13
KDEC	SIAP	B24
KDEC	SIAP	I06
KDEC	SIAP	L06
KDEC	SIAP	R06
KDEC	SIAP	R12
KDEC	SIAP	R18
KDEC	SIAP	R24
KDEC	SIAP	R30
KDEC	SIAP	R36
KDEC	SIAP	S18
KDED	SIAP	R05
KDED	SIAP	R12
KDED	SIAP	R23
KDED	SIAP	R30
KDED	STAR	TTHOR3
KDEH	SIAP	R11
KDEH	SIAP	R29
KDEN	SIAP	H07-Z
KDEN	SIAP	H16LZ
KDEN	SIAP	H16RZ
KDEN	SIAP	H17LZ
KDEN	SIAP	H17RZ
KDEN	SIAP	H26-Z
KDEN	SIAP	H34LZ
KDEN	SIAP	H34RZ
KDEN	SIAP	H35LZ
KDEN	SIAP	H35RZ
KDEN	SIAP	I07
KDEN	SIAP	I08
KDEN	SIAP	I16L
KDEN	SIAP	I16R
KDEN	SIAP	I17L
KDEN	SIAP	I17R
KDEN	SIAP	I25
KDEN	SIAP	I26
KDEN	SIAP	I34L
KDEN	SIAP	I34R
KDEN	SIAP	I35L
KDEN	SIAP	I35R
KDEN	SIAP	L07
KDEN	SIAP	L08
KDEN	SIAP	L16L
KDEN	SIAP	L16R
KDEN	SIAP	L17L
KDEN	SIAP	L17R
KDEN	SIAP	L25
KDEN	SIAP	L26
KDEN	SIAP	L34L
KDEN	SIAP	L34R
KDEN	SIAP	L35L
KDEN	SIAP	L35R
KDEN	SIAP	R07-Y
KDEN	SIAP	R08-Y
KDEN	SIAP	R16LY
KDEN	SIAP	R16RY
KDEN	SIAP	R17LY
KDEN	SIAP	R17RY
KDEN	SIAP	R25-Y
KDEN	SIAP	R26-Y
KDEN	SIAP	R34LY
KDEN	SIAP	R34RY
KDEN	SIAP	R35LY
KDEN	SIAP	R35RY
KDEN	SID	BAYLR6
KDEN	SID	CHUWY1
KDEN	SID	CONNR8
KDEN	SID	COORZ7
KDEN	SID	DDRTH1
KDEN	SID	EEONS8
KDEN	SID	EMMYS8
KDEN	SID	EPKEE7
KDEN	SID	EXTAN7
KDEN	SID	HHOTH2
KDEN	SID	PIKES3
KDEN	SID	PLAIN2
KDEN	SID	ROCKI7
KDEN	SID	SABTH2
KDEN	SID	SLEEK2
KDEN	SID	SMMUR2
KDEN	SID	SUDDZ1
KDEN	SID	XXWNG1
KDEN	SID	YELLO5
KDEN	SID	ZIMMR4
KDEN	STAR	AALLE4
KDEN	STAR	CLASH5
KDEN	STAR	DANDD1
KDEN	STAR	FLATI5
KDEN	STAR	LANDR3
KDEN	STAR	LARKS3
KDEN	STAR	LAWGR4
KDEN	STAR	LONGZ4
KDEN	STAR	NIIXX4
KDEN	STAR	POWDR1
KDEN	STAR	QUAIL1
KDEN	STAR	RAMMS8
KDEN	STAR	SSKII4
KDEN	STAR	TBARR4
KDEN	STAR	TOMSN9
KDEQ	SIAP	R08
KDET	SIAP	I15
KDET	SIAP	I33
KDET	SIAP	L15
KDET	SIAP	L33
KDET	SIAP	R15
KDET	SIAP	R33
KDET	SID	BARII3
KDET	SID	CCOBB3
KDET	SID	CLVIN3
KDET	SID	HHOWE4
KDET	SID	KAYLN3
KDET	SID	KZLOV2
KDET	SID	LIDDS4
KDET	SID	METRO4
KDET	SID	MIGGY3
KDET	SID	PAVYL3
KDET	SID	SNDRS3
KDET	SID	TRMML4
KDET	SID	ZETTR4
KDET	STAR	FOREY2
KDET	STAR	GIGGY2
KDET	STAR	PETTE2
KDET	STAR	RRALF3
KDEW	SIAP	R16
KDEW	SIAP	R34
KDFI	SIAP	R12
KDFW	SIAP	H13RZ
KDFW	SIAP	H31LZ
KDFW	SIAP	H31RZ
KDFW	SIAP	I13RV
KDFW	SIAP	I13RZ
KDFW	SIAP	I17C
KDFW	SIAP	I17L
KDFW	SIAP	I17R
KDFW	SIAP	I18L
KDFW	SIAP	I18R
KDFW	SIAP	I31R
KDFW	SIAP	I35C
KDFW	SIAP	I35L
KDFW	SIAP	I35R
KDFW	SIAP	I36L
KDFW	SIAP	I36R
KDFW	SIAP	L13RZ
KDFW	SIAP	L17C
KDFW	SIAP	L17L
KDFW	SIAP	L17R
KDFW	SIAP	L18L
KDFW	SIAP	L18R
KDFW	SIAP	L31R
KDFW	SIAP	L35C
KDFW	SIAP	L35L
KDFW	SIAP	L35R
KDFW	SIAP	L36L
KDFW	SIAP	L36R
KDFW	SIAP	R13RY
KDFW	SIAP	R17C
KDFW	SIAP	R17L
KDFW	SIAP	R17R
KDFW	SIAP	R18L
KDFW	SIAP	R18R
KDFW	SIAP	R31LY
KDFW	SIAP	R31RY
KDFW	SIAP	R35C
KDFW	SIAP	R35L
KDFW	SIAP	R35R
KDFW	SIAP	R36L
KDFW	SIAP	R36R
KDFW	SID	AKUNA9
KDFW	SID	ALIAN2
KDFW	SID	ARDIA7
KDFW	SID	BLECO8
KDFW	SID	BOTCH2
KDFW	SID	CYOTE4
KDFW	SID	DALL4
KDFW	SID	DARTZ9
KDFW	SID	FORCK3
KDFW	SID	GARL6
KDFW	SID	GRABE8
KDFW	SID	HRPER3
KDFW	SID	HUDAD2
KDFW	SID	JACKY1
KDFW	SID	JASPA7
KDFW	SID	JPOOL8
KDFW	SID	KATZZ2
KDFW	SID	KEENE6
KDFW	SID	KING5
KDFW	SID	KUSSO3
KDFW	SID	LOWGN8
KDFW	SID	MRSSH3
KDFW	SID	NELYN6
KDFW	SID	TEX5
KDFW	SID	TGATE4
KDFW	SID	TRYTN4
KDFW	SID	WORTH1
KDFW	SID	WSTEX2
KDFW	SID	ZACHH4
KDFW	STAR	BEREE3
KDFW	STAR	BOOVE7
KDFW	STAR	BRDJE5
KDFW	STAR	CABBY2
KDFW	STAR	CAINE2
KDFW	STAR	DAWGZ2
KDFW	STAR	FINGR1
KDFW	STAR	FORNY3
KDFW	STAR	GIBBI2
KDFW	STAR	JOVEM6
KDFW	STAR	PAWLZ3
KDFW	STAR	SEEVR4
KDFW	STAR	SHAAM2
KDFW	STAR	SHMPP3
KDFW	STAR	SOCKK4
KDFW	STAR	TILLA3
KDFW	STAR	VKTRY2
KDFW	STAR	WHINY4
KDFW	STAR	YEAGR4
KDFW	STAR	ZROBA1
KDGW	SIAP	R11
KDGW	SIAP	R29
KDGW	SIAP	S29
KDHN	SIAP	I14
KDHN	SIAP	I32
KDHN	SIAP	L14
KDHN	SIAP	L32
KDHN	SIAP	R14
KDHN	SIAP	R18
KDHN	SIAP	R32
KDHN	SIAP	R36
KDHN	SIAP	VOR-A
KDHT	SIAP	R17
KDHT	SIAP	R35
KDIJ	SIAP	R04
KDIJ	SIAP	RNV-A
KDIJ	SID	LAMON4
KDIK	SIAP	I32
KDIK	SIAP	L32
KDIK	SIAP	R07
KDIK	SIAP	R14
KDIK	SIAP	R25
KDIK	SIAP	R32
KDKB	SIAP	I02
KDKB	SIAP	L02
KDKB	SIAP	R02
KDKB	SIAP	R09
KDKB	SIAP	R20
KDKB	SIAP	R27
KDKK	SIAP	R15
KDKK	SIAP	R33
KDKK	SIAP	RNV-A
KDKK	SIAP	RNV-B
KDKR	SIAP	R02
KDKR	SIAP	R20
KDKX	SIAP	L26
KDKX	SIAP	R26
KDKX	SIAP	VOR-B
KDLC	SIAP	RNV-A
KDLH	SIAP	D21
KDLH	SIAP	I09
KDLH	SIAP	I27
KDLH	SIAP	L09
KDLH	SIAP	L27
KDLH	SIAP	R03
KDLH	SIAP	R09
KDLH	SIAP	R21
KDLH	SIAP	R27
KDLH	SIAP	S03
KDLL	SIAP	L01
KDLL	SIAP	R01
KDLL	SIAP	R19
KDLL	SIAP	VOR-A
KDLN	SIAP	R17
KDLN	SIAP	R35
KDLN	SIAP	VDM-B
KDLO	SIAP	R33
KDLO	SIAP	S33
KDLS	SIAP	RNV-A
KDLS	SID	DALLS1
KDLZ	SIAP	R10
KDLZ	SIAP	R28
KDLZ	SIAP	S28
KDMN	SIAP	R04
KDMN	SIAP	R08
KDMN	SIAP	R22
KDMN	SIAP	RNV-A
KDMN	SIAP	VOR-B
KDMO	SIAP	R18
KDMO	SIAP	R36
KDMW	SIAP	R16
KDMW	SIAP	R34
KDMW	SIAP	S34
KDMW	SID	CONLE5
KDMW	SID	FOXHL1
KDMW	SID	LINSE2
KDMW	SID	TERPZ8
KDMW	STAR	TRSTN4
KDNA	SIAP	R10
KDNL	SIAP	R05
KDNL	SIAP	R11-Y
KDNL	SIAP	VDM-B
KDNL	SID	AZALA4
KDNL	SID	CHATT6
KDNL	SID	MISTY6
KDNL	SID	NDINA5
KDNL	SID	SAMMI4
KDNN	SIAP	I14
KDNN	SIAP	L14
KDNN	SIAP	R14
KDNN	SIAP	R32
KDNS	SIAP	R12
KDNS	SIAP	R30
KDNV	SIAP	I21
KDNV	SIAP	L21
KDNV	SIAP	R03
KDNV	SIAP	R21
KDNV	SIAP	R34
KDOV	STAR	ARLFT2
KDPA	SIAP	I02L
KDPA	SIAP	L02L
KDPA	SIAP	R02L
KDPA	SIAP	R02R
KDPA	SIAP	R10
KDPA	SIAP	R20L
KDPA	SIAP	R20R
KDPA	SID	ADELL8
KDPA	SID	BLOKR8
KDPA	SID	CARYN8
KDPA	SID	DARCY8
KDPA	SID	ELANR9
KDPA	SID	OBENE3
KDPL	SIAP	R05
KDPL	SIAP	R23
KDQH	SIAP	I04
KDQH	SIAP	L04
KDQH	SIAP	R04
KDQH	SIAP	R22
KDRI	SIAP	R18
KDRI	SIAP	R36
KDRM	SIAP	R08
KDRM	SIAP	R26
KDRO	SIAP	I03
KDRO	SIAP	L03
KDRO	SIAP	R03
KDRO	SIAP	R21
KDRP	SIAP	R18
KDRP	SIAP	R36
KDRT	SIAP	R13
KDRT	SIAP	VOR-A
KDSM	SIAP	I05
KDSM	SIAP	I13
KDSM	SIAP	I31
KDSM	SIAP	L05
KDSM	SIAP	L13
KDSM	SIAP	L31
KDSM	SIAP	R05
KDSM	SIAP	R13
KDSM	SIAP	R23
KDSM	SIAP	R31
KDSM	SIAP	S23
KDSM	SID	DSM2
KDSV	SIAP	R14
KDSV	SIAP	RNV-A
KDTA	SIAP	D17
KDTA	SIAP	R17
KDTA	SIAP	R35
KDTA	SIAP	S35
KDTA	SID	DTA1
KDTL	SIAP	R14
KDTL	SIAP	R32
KDTN	SIAP	L14
KDTN	SIAP	R05
KDTN	SIAP	R14
KDTN	SIAP	R23
KDTN	SIAP	R32
KDTO	SIAP	I18L
KDTO	SIAP	L18L
KDTO	SIAP	R18L
KDTO	SIAP	R18R
KDTO	SIAP	R36L
KDTO	SIAP	R36R
KDTO	SID	BOTCH2
KDTO	SID	DALL4
KDTO	SID	GARL6
KDTO	SID	JPOOL8
KDTO	SID	KING5
KDTO	SID	KUSSO3
KDTO	SID	NANDR4
KDTO	SID	TEX5
KDTO	SID	WORTH1
KDTO	STAR	DODJE6
KDTO	STAR	GREGS1
KDTO	STAR	HERBZ2
KDTO	STAR	JFRYE5
KDTO	STAR	LIKES4
KDTO	STAR	REEKO3
KDTO	STAR	SASIE8
KDTO	STAR	TRUUK3
KDTS	SIAP	R14
KDTS	SIAP	R32
KDTW	SIAP	H03RW
KDTW	SIAP	H03RX
KDTW	SIAP	H04LU
KDTW	SIAP	H04LW
KDTW	SIAP	H04LX
KDTW	SIAP	H04RX
KDTW	SIAP	H21LW
KDTW	SIAP	H21LX
KDTW	SIAP	H22LX
KDTW	SIAP	H22RU
KDTW	SIAP	H22RW
KDTW	SIAP	H22RX
KDTW	SIAP	I03R
KDTW	SIAP	I04LY
KDTW	SIAP	I04LZ
KDTW	SIAP	I04R
KDTW	SIAP	I21L
KDTW	SIAP	I22L
KDTW	SIAP	I22RY
KDTW	SIAP	I22RZ
KDTW	SIAP	I27L
KDTW	SIAP	I27R
KDTW	SIAP	L03R
KDTW	SIAP	L04L
KDTW	SIAP	L04R
KDTW	SIAP	L21L
KDTW	SIAP	L22L
KDTW	SIAP	L22R
KDTW	SIAP	L27L
KDTW	SIAP	L27R
KDTW	SIAP	R03RZ
KDTW	SIAP	R04LY
KDTW	SIAP	R04LZ
KDTW	SIAP	R04RZ
KDTW	SIAP	R21LZ
KDTW	SIAP	R22LZ
KDTW	SIAP	R22RY
KDTW	SIAP	R22RZ
KDTW	SIAP	R27L
KDTW	SIAP	R27R
KDTW	SID	BARII3
KDTW	SID	CCOBB3
KDTW	SID	CLVIN3
KDTW	SID	HHOWE4
KDTW	SID	KAYLN3
KDTW	SID	KZLOV2
KDTW	SID	LIDDS4
KDTW	SID	METRO4
KDTW	SID	MIGGY3
KDTW	SID	PAVYL3
KDTW	SID	SNDRS3
KDTW	SID	TRMML4
KDTW	SID	ZETTR4
KDTW	STAR	BONZZ2
KDTW	STAR	CRAKN2
KDTW	STAR	CUUGR2
KDTW	STAR	FERRL2
KDTW	STAR	GRAYT2
KDTW	STAR	HANBL3
KDTW	STAR	HAYLL3
KDTW	STAR	HTROD2
KDTW	STAR	KKISS2
KDTW	STAR	KLYNK3
KDTW	STAR	LAYKS2
KDTW	STAR	LECTR3
KDTW	STAR	RKCTY2
KDTW	STAR	TPGUN2
KDTW	STAR	VCTRZ2
KDTW	STAR	WNGNT2
KDUA	SIAP	R17
KDUA	SIAP	R35
KDUB	SIAP	R29
KDUB	SID	ROWEY1
KDUC	SIAP	R17
KDUC	SIAP	R35
KDUG	SIAP	D17
KDUG	SIAP	R17
KDUH	SIAP	RNV-A
KDUJ	SIAP	I25
KDUJ	SIAP	L25
KDUJ	SIAP	R07
KDUJ	SIAP	R25
KDUX	SIAP	R01
KDUX	SIAP	R19
KDVK	SIAP	R13
KDVK	SIAP	R31
KDVL	SIAP	I31
KDVL	SIAP	L31
KDVL	SIAP	R03
KDVL	SIAP	R13
KDVL	SIAP	R21
KDVL	SIAP	R31
KDVN	SIAP	I15
KDVN	SIAP	L15
KDVN	SIAP	R03
KDVN	SIAP	R15
KDVN	SIAP	R21
KDVN	SIAP	R33
KDVN	SIAP	S03
KDVN	SIAP	S21
KDVO	SIAP	R13
KDVO	STAR	REBAS1
KDVO	STAR	VNYRD1
KDVP	SIAP	R17
KDVP	SIAP	R35
KDVT	SIAP	R07R
KDVT	SIAP	R25L
KDVT	SIAP	RNV-B
KDVT	SID	BNYRD6
KDVT	SID	DVT3
KDVT	SID	FTHLS6
KDVT	SID	IZZZO8
KDVT	SID	JUDTH7
KDVT	SID	KATMN6
KDVT	SID	LALUZ6
KDVT	SID	MAYSA7
KDVT	SID	SNOBL6
KDVT	SID	YOTES6
KDVT	STAR	ARLIN4
KDVT	STAR	BLH5
KDVT	STAR	DSERT2
KDVT	STAR	SUNSS8
KDWA	SIAP	R16
KDWA	SIAP	R34
KDWH	SIAP	L17R
KDWH	SIAP	R17R
KDWH	SIAP	R35L
KDWH	SID	AEX3
KDWH	SID	BLTWY7
KDWH	SID	BORRN6
KDWH	SID	CRIED1
KDWH	SID	ELD1
KDWH	SID	GIFFA1
KDWH	SID	HOODO7
KDWH	SID	INDIE8
KDWH	SID	JCT1
KDWH	SID	KARRR7
KDWH	SID	LCH5
KDWH	SID	LFK4
KDWH	SID	LOA4
