Arpt_ICAO	Procedure Type	Procedure Ident
24J	SIAP	R25
25M	SIAP	R03
25M	SIAP	R21
26N	SIAP	P06
26R	SIAP	R15
26R	SIAP	R33
27K	SIAP	R03
27K	SIAP	R21-Y
27K	SIAP	R21-Z
28J	SIAP	R09
28J	SIAP	R27
29D	SIAP	R10
29D	SIAP	R28
2A0	SIAP	R03
2A0	SIAP	R21
2A1	SIAP	RNV-B
2A1	SIAP	RNV-C
2A2	SIAP	R05
2A2	SIAP	R23
2B3	SIAP	RNV-A
2B7	SIAP	R18
2B7	SIAP	R36
2C8	SIAP	R34
2D5	SIAP	R30
2F7	SIAP	R18
2F7	SIAP	R36
2G1	SIAP	RNV-A
2G2	SIAP	R14
2G2	SIAP	R32
2G4	SIAP	R09
2G4	SIAP	R27
2G9	SIAP	L25
2G9	SIAP	R07
2G9	SIAP	R25
2H0	SIAP	R36
2H2	SIAP	R18
2H2	SIAP	R36
2I0	SIAP	R05
2I0	SIAP	R23
2IS	SIAP	R13
2IS	SIAP	R31
2J3	SIAP	R13
2J3	SIAP	R31
2J5	SIAP	R17
2J5	SIAP	R35
2J9	SIAP	R14
2J9	SIAP	R32
2K4	SIAP	R17
2K4	SIAP	R35
2K7	SIAP	RNV-A
2M0	SIAP	R05
2M0	SIAP	R23
2M2	SIAP	R17
2M2	SIAP	R35
2M8	SIAP	R18
2M8	SIAP	R36
2O8	SIAP	R18
2O8	SIAP	R36
2P2	SIAP	R029
2P2	SID	WINEP1
2R2	SIAP	R18
2R2	SIAP	R36
2R4	SIAP	R36
2R5	SIAP	R06
2R6	SIAP	R18
2R6	SIAP	R36
2R9	SIAP	R16
2R9	SIAP	R34
2S8	SIAP	R02
2S8	SID	WIPES1
2T1	SIAP	RNV-B
2V5	SIAP	R17
2V5	SIAP	R35
2V6	SIAP	R16
2V6	SIAP	R34
2W2	SIAP	RNV-B
2W2	SIAP	VOR-A
2W2	STAR	TRSTN4
2W5	SIAP	R02
2W5	STAR	TIKEE4
2W6	SIAP	R11
2W6	SIAP	R29
31E	SIAP	RNV-A
31E	SIAP	RNV-B
32A	SIAP	R11
32S	SIAP	RNV-A
33J	SIAP	R11
33J	SIAP	R29
33N	SIAP	R09
33N	SIAP	R27
33N	SIAP	S27
33N	STAR	ARLFT2
33V	SIAP	R04
33V	SIAP	RNV-A
33V	SID	WALRU1
35A	SIAP	R05
35A	SIAP	R23
35D	SIAP	R11
35D	SIAP	R29
38D	SIAP	RNV-A
38S	SIAP	RNV-A
39N	SIAP	R10
39N	SIAP	R28
39N	SID	PRINC1
39N	STAR	LVZ5
3A2	SIAP	R07
3AU	SIAP	R18
3AU	SIAP	R36
3B0	SIAP	R02
3B1	SIAP	R14
3B1	SIAP	R32
3CK	SIAP	R08
3CK	SIAP	R26
3CM	SIAP	R18
3CU	SIAP	R35
3D2	SIAP	R14
3D2	SIAP	R32
3DW	SIAP	RNV-A
3DW	SIAP	RNV-B
3EX	SIAP	RNV-B
3F3	SIAP	R18
3F4	SIAP	R09
3F4	SIAP	R27
3F6	SIAP	R36
3F7	SIAP	R18
3F7	SIAP	R36
3G3	SIAP	R02
3G3	SIAP	R20
3G4	SIAP	R19
3G6	SIAP	R18
3GM	SIAP	R09
3GM	SIAP	R27
3GV	SIAP	R09
3GV	SIAP	R27
3H4	SIAP	R16
3H4	SIAP	R34
3HO	STAR	LUCIT3
3HO	STAR	PANGG7
3I2	SIAP	R07
3I2	SIAP	R25
3I3	SIAP	RNV-A
3I7	SIAP	RNV-A
3JC	SIAP	R36
3K3	SIAP	R18
3K3	SIAP	R36
3K7	SIAP	R17
3K7	SIAP	R35
3K8	SIAP	R17
3K8	SIAP	R35
3LF	SIAP	R09
3LF	SIAP	R18
3LF	SIAP	R27
3LF	SIAP	R36
3M7	SIAP	R01
3M7	SIAP	R19
3M8	SIAP	R01
3M8	SIAP	R19
